customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
9867-JCZSP,Female,0,Yes,Yes,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,23.862499999999997,460.07500000000005,No
4671-VJLCL,Female,0,No,No,61,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),91.82749999999999,5347.595,No
4080-IIARD,Female,0,Yes,No,9,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,87.63,1079.595,No
3714-NTNFO,Female,0,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,97.175,4297.37,No
5948-UJZLF,Male,0,No,No,1,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,56.637499999999996,106.7,No
7760-OYPDY,Female,0,No,No,0,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,92.7475,158.56500000000003,Yes
7639-LIAYI,Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),91.71249999999999,4639.580000000001,No
2954-PIBKO,Female,0,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),73.7725,4679.510000000001,No
8012-SOUDQ,Female,1,No,No,38,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,103.7875,4222.625,No
9420-LOJKX,Female,0,No,No,14,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),113.96499999999999,1569.0400000000002,Yes
6575-SUVOI,Female,1,Yes,No,24,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),79.925,1927.9150000000002,No
7495-OOKFY,Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),92.7475,696.63,Yes
4667-QONEA,Female,1,Yes,Yes,59,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),86.07749999999999,4901.985000000001,No
1658-BYGOY,Male,1,No,No,14,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,109.7675,1927.805,Yes
8769-KKTPH,Female,0,Yes,Yes,62,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),114.5975,6942.320000000001,No
5067-XJQFU,Male,1,Yes,Yes,63,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,124.71749999999999,7783.985000000001,No
3957-SQXML,Female,0,Yes,Yes,31,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),28.692499999999995,983.73,No
5954-BDFSG,Female,0,No,No,69,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),123.62499999999999,8639.07,No
0434-CSFON,Female,0,Yes,No,44,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,115.57499999999999,5177.81,No
1215-FIGMP,Male,0,No,No,56,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),103.385,5995.77,No
0526-SXDJP,Male,0,Yes,No,70,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),48.415,3258.2000000000003,No
0557-ASKVU,Female,0,Yes,Yes,13,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),62.559999999999995,1052.8100000000002,No
5698-BQJOH,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,108.56,942.975,Yes
5122-CYFXA,Female,0,No,No,0,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,86.59499999999998,268.51,No
8627-ZYGSZ,Male,0,Yes,No,46,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,90.735,4015.385,No
3410-YOQBQ,Female,0,No,No,28,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,91.08,2746.92,No
3170-NMYVV,Female,0,Yes,Yes,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),23.172499999999996,1023.99,No
7410-OIEDU,Male,0,No,No,5,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,91.82749999999999,976.0850000000002,No
2273-QCKXA,Male,0,No,No,0,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,56.40749999999999,53.955,No
0731-EBJQB,Female,0,Yes,Yes,47,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,23.459999999999997,1199.7150000000001,No
1891-QRQSA,Male,1,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),128.33999999999997,7808.900000000001,No
8028-PNXHQ,Male,0,Yes,Yes,59,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),27.8875,1567.06,No
5630-AHZIL,Female,0,No,Yes,0,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),74.175,195.14000000000001,No
2673-CXQEU,Female,1,No,No,52,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,127.07499999999999,6753.450000000001,No
6416-JNVRK,Female,0,No,No,45,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),63.997499999999995,2957.735,No
5590-ZSKRV,Female,0,Yes,Yes,7,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,62.8475,530.475,No
0191-ZHSKZ,Male,1,No,No,27,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,85.96249999999999,2322.4300000000003,No
3887-PBQAO,Female,0,Yes,Yes,44,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),29.784999999999997,1338.26,No
5919-TMRGD,Female,0,No,Yes,0,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,91.25249999999998,87.285,Yes
8108-UXRQN,Female,0,Yes,Yes,6,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,58.13249999999999,621.8850000000001,No
9191-MYQKX,Female,0,Yes,No,4,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),86.4225,546.59,Yes
9919-YLNNG,Female,0,No,No,37,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),119.36999999999999,4760.25,No
0318-ZOPWS,Female,0,Yes,No,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),23.172499999999996,1070.6850000000002,No
4445-ZJNMU,Male,0,No,No,6,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),114.195,1010.6250000000001,No
4808-YNLEU,Female,0,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),71.4725,2436.995,No
1862-QRWPE,Female,0,Yes,Yes,43,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),23.747499999999995,1162.7,No
2796-NNUFI,Female,0,Yes,Yes,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,22.9425,1019.8100000000001,No
3016-KSVCP,Male,0,Yes,No,25,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,38.8125,1110.1750000000002,No
4767-HZZHQ,Male,0,Yes,Yes,29,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),94.35749999999999,2827.2200000000003,No
2424-WVHPL,Male,1,No,No,0,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,85.905,82.17000000000002,No
7233-PAHHL,Male,0,Yes,Yes,65,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,96.6,6285.675,No
6067-NGCEU,Female,0,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),127.70749999999998,7817.700000000001,No
9848-JQJTX,Male,0,No,No,69,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),116.035,8204.955000000002,No
8637-XJIVR,Female,0,No,No,9,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,90.79249999999999,1020.0850000000002,Yes
9803-FTJCG,Male,0,Yes,Yes,68,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),76.87749999999998,5223.570000000001,No
0278-YXOOG,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,24.2075,125.235,Yes
3212-KXOCR,Male,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),24.15,1217.92,No
4598-XLKNJ,Female,1,Yes,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,113.27499999999999,2765.9500000000003,Yes
6380-ARCEH,Male,0,No,No,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,23.229999999999997,22.220000000000002,No
3679-XASPY,Female,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,22.367499999999996,21.395,No
7123-WQUHX,Male,0,No,No,38,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),109.24999999999999,3966.1600000000003,No
5386-THSLQ,Female,1,Yes,No,66,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),52.38249999999999,3329.9750000000004,No
3192-NQECA,Male,0,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),126.49999999999999,8373.035000000002,Yes
6180-YBIQI,Male,0,No,No,2,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,27.945,110.22000000000001,No
6728-DKUCO,Female,0,Yes,Yes,70,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,119.7725,8033.3550000000005,No
9750-BOOHV,Female,0,No,No,30,No,No phone service,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,34.67249999999999,1020.4150000000001,No
8597-CWYHH,Male,0,No,No,43,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,108.50249999999998,4313.43,No
2848-YXSMW,Male,0,Yes,Yes,70,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),22.309999999999995,1499.575,No
0486-HECZI,Male,0,Yes,No,53,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,111.26249999999999,5762.79,Yes
4549-ZDQYY,Female,0,No,No,52,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),66.6425,3346.4750000000004,No
5712-AHQNN,Female,0,No,No,41,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,105.3975,4349.51,No
4846-WHAFZ,Female,1,Yes,No,33,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,87.975,3154.965,Yes
5256-SKJGO,Female,0,Yes,Yes,63,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,62.79,3765.8500000000004,No
3071-VBYPO,Male,0,Yes,Yes,2,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,103.32749999999999,273.24,No
9560-BBZXK,Female,0,No,No,36,No,No phone service,DSL,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),35.707499999999996,1238.985,No
5299-RULOA,Female,0,Yes,Yes,7,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,115.2875,1171.1150000000002,Yes
8402-OOOHJ,Female,0,No,No,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,23.747499999999995,918.6650000000001,No
9445-ZUEQE,Male,0,Yes,Yes,24,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),97.97999999999999,2366.76,No
1091-SOZGA,Female,0,Yes,Yes,55,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),114.76999999999998,6066.995,No
2928-HLDBA,Female,0,No,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,23.804999999999996,124.025,No
0404-SWRVG,Male,0,No,No,0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,85.56,252.50500000000002,Yes
6497-TILVL,Female,0,Yes,Yes,3,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,58.305,385.38500000000005,No
7219-TLZHO,Female,0,Yes,Yes,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,23.9775,69.19,No
4622-YNKIJ,Male,0,No,No,30,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,Yes,Electronic check,102.29249999999999,3330.4150000000004,No
4412-YLTKF,Female,1,No,No,22,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,89.7575,2349.05,Yes
6734-PSBAW,Male,0,Yes,No,70,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),27.0825,1896.3450000000003,No
3930-ZGWVE,Male,0,No,No,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,22.7125,21.725,No
2639-UGMAZ,Male,1,No,No,71,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,64.9175,4383.885,No
2876-GZYZC,Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,98.8425,1337.2150000000001,No
6207-WIOLX,Female,0,Yes,Yes,21,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),67.39,1652.9150000000002,Yes
8587-XYZSF,Male,0,No,No,62,Yes,No,DSL,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),58.13249999999999,3586.11,No
3091-FYHKI,Male,0,No,No,0,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,40.7675,38.995000000000005,Yes
2372-HWUHI,Male,0,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,51.0025,89.37500000000001,Yes
7799-LGRDP,Female,0,No,No,39,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),29.554999999999996,1307.0200000000002,No
7850-VWJUU,Female,0,No,No,22,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),86.25,1956.3500000000001,No
3774-VBNXY,Female,0,Yes,Yes,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,23.229999999999997,1405.525,No
6217-KDYWC,Male,0,No,Yes,55,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,22.54,1287.605,No
0390-DCFDQ,Female,1,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,81.0175,77.495,Yes
3146-MSEGF,Female,1,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),101.2575,7068.215,No
4080-OGPJL,Female,0,No,No,7,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,81.8225,620.015,Yes
1095-WGNGG,Female,0,Yes,No,58,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),116.20749999999998,6568.375000000001,No
2636-SJDOU,Male,0,No,No,60,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Credit card (automatic),96.945,5817.955000000001,No
1131-QQZEB,Male,1,Yes,No,69,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),27.542499999999997,1931.8200000000002,No
5716-EZXZN,Female,0,Yes,Yes,65,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),113.90749999999998,7058.370000000001,No
6837-BJYDQ,Male,0,No,No,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,22.54,67.48500000000001,No
2135-RXIHG,Male,0,No,No,0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,52.497499999999995,50.215,Yes
6440-DKQGE,Male,0,No,Yes,27,Yes,No,DSL,No,Yes,Yes,No,Yes,No,One year,No,Credit card (automatic),74.175,2122.945,No
3466-BYAVD,Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,79.925,1178.5400000000002,No
3780-YVMFA,Female,0,Yes,Yes,4,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,78.8325,620.7850000000001,No
3874-EQOEP,Male,0,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,109.24999999999999,721.0500000000001,Yes
1679-JRFBR,Female,0,Yes,Yes,68,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),124.3725,8723.605000000001,No
9073-ZZIAY,Male,0,Yes,Yes,58,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,99.01499999999999,5736.775000000001,No
3077-RSNTJ,Female,0,Yes,Yes,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,22.654999999999998,124.85000000000001,No
6551-GNYDG,Female,0,Yes,Yes,10,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),93.035,1268.0800000000002,No
9167-APMXZ,Female,0,No,No,20,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),96.7725,2004.1450000000002,No
2749-CTKAJ,Male,0,Yes,Yes,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,23.172499999999996,461.89,No
6371-NZYEG,Male,0,Yes,Yes,11,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Two year,No,Mailed check,73.88749999999999,1126.4,No
7554-NEWDD,Male,0,No,No,7,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),29.554999999999996,276.76,No
8992-VONJD,Female,0,No,Yes,12,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,64.39999999999999,841.005,No
